epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,94.8859,0.17689,0.23138,0.78912,0.99885,0.99762,0.99338,0.9929,0.12329,0.16465,0.76349,0.00020909,0.00020909,0.00020909
84,95.9999,0.18605,0.23337,0.78237,0.99899,0.99762,0.99339,0.99301,0.11746,0.1603,0.76305,0.000198091,0.000198091,0.000198091
85,97.1181,0.18037,0.22968,0.79941,0.99901,0.99762,0.9934,0.9934,0.12037,0.16206,0.76338,0.000187092,0.000187092,0.000187092
86,98.1926,0.17425,0.22598,0.79549,0.99913,0.99762,0.99338,0.99319,0.11757,0.16184,0.76282,0.000176094,0.000176094,0.000176094
87,99.3455,0.17808,0.23085,0.79142,0.99912,0.99762,0.9934,0.99291,0.12003,0.16142,0.76279,0.000165095,0.000165095,0.000165095
88,100.541,0.18133,0.22615,0.79512,0.99919,0.99762,0.9934,0.99302,0.11834,0.15877,0.76265,0.000154096,0.000154096,0.000154096
89,101.696,0.17692,0.22474,0.78731,0.9992,0.99762,0.99343,0.99323,0.11377,0.15908,0.76239,0.000143097,0.000143097,0.000143097
90,102.771,0.17492,0.22036,0.78288,0.99925,0.99762,0.99344,0.99324,0.11015,0.15575,0.76224,0.000132098,0.000132098,0.000132098
91,104.415,0.14211,0.22319,0.77305,0.99908,0.99762,0.99341,0.99341,0.12383,0.17465,0.7631,0.000121099,0.000121099,0.000121099
92,105.479,0.1394,0.23132,0.76654,0.99877,0.99762,0.99337,0.99337,0.11697,0.17245,0.76329,0.0001101,0.0001101,0.0001101
93,106.493,0.13765,0.22,0.77055,0.99909,0.99762,0.99335,0.99335,0.1132,0.15832,0.76272,9.91012e-05,9.91012e-05,9.91012e-05
94,107.515,0.13317,0.21427,0.76305,0.99914,0.99762,0.99334,0.99334,0.12011,0.16051,0.76285,8.81023e-05,8.81023e-05,8.81023e-05
95,108.55,0.13355,0.22007,0.76144,0.99918,0.99762,0.99335,0.99335,0.11509,0.16103,0.76208,7.71034e-05,7.71034e-05,7.71034e-05
96,109.557,0.13447,0.2171,0.76649,0.99913,0.99762,0.99336,0.99336,0.11248,0.15484,0.76204,6.61045e-05,6.61045e-05,6.61045e-05
97,110.756,0.12743,0.2116,0.76687,0.99916,0.99762,0.99337,0.99337,0.11241,0.15189,0.76204,5.51056e-05,5.51056e-05,5.51056e-05
98,111.792,0.12729,0.20664,0.76233,0.99911,0.99762,0.99337,0.99337,0.1114,0.15034,0.76163,4.41067e-05,4.41067e-05,4.41067e-05
99,112.835,0.12928,0.20888,0.77071,0.99908,0.99762,0.99337,0.99337,0.10905,0.14964,0.76155,3.31078e-05,3.31078e-05,3.31078e-05
100,113.862,0.12254,0.20422,0.75924,0.99908,0.99762,0.99338,0.99338,0.10898,0.14819,0.76188,2.21089e-05,2.21089e-05,2.21089e-05
1,1.60865,0.6355,3.74384,0.90141,0.00854,0.32077,0.1134,0.10775,0.263,3.66764,0.77151,0.0001111,0.0001111,0.0001111
2,2.75142,0.50001,2.12594,0.86908,0.01807,0.95,0.29963,0.2687,0.40547,3.14798,0.77423,0.000231,0.000231,0.000231
3,3.95544,0.44196,1.44639,0.85369,0.98703,0.16614,0.52004,0.49149,0.33568,2.86567,0.76795,0.000348481,0.000348481,0.000348481
4,5.11208,0.42683,1.01663,0.8342,1,0.17536,0.71047,0.65516,0.34507,2.80247,0.77517,0.000463541,0.000463541,0.000463541
5,6.24912,0.38865,0.7888,0.82562,1,0.28366,0.77569,0.71221,0.3737,2.435,0.78688,0.000576182,0.000576182,0.000576182
6,7.48793,0.38776,0.65186,0.81646,1,0.35697,0.93727,0.88233,0.3411,2.32672,0.78416,0.000686404,0.000686404,0.000686404
